Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
4.1 Course Listing Navigation,ELP-11,10089,Story,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:33 AM,,,,0,• Access course listing via search or category navigation,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2d9adf5f,,,,,,,,,,,,,,,,0|i0005j:,,,ELP Sprint 1,,,1.0,,,,,,,,,10088,ELP-10,MODULE 4 — Course Listing Page,To Do,02/Apr/26 8:18 AM
4.2 Course Card Layout & Elements,ELP-12,10090,Story,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:33 AM,,,,0,• All elements displayed correctly on each course card,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-44,ELP-45,ELP-46,ELP-47,ELP-48,ELP-49,ELP-63,ELP-64,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5e8f9104,,,,,,,,,,,,,,,,0|i0005r:,,,ELP Sprint 1,,,5.0,,,,,,,,,10088,ELP-10,MODULE 4 — Course Listing Page,To Do,02/Apr/26 8:18 AM
MODULE 5 — Course Detail Page,ELP-13,10091,Epic,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:18 AM,,,,0,,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@457a3a55,,,,,ghx-label-13,Course Detail Page,To Do,,,,dark_green,,,,,0|i0005z:,,,,,,,,,,,,,,,,,,To Do,02/Apr/26 8:18 AM
5.1 Course Information Display,ELP-14,10092,Story,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:33 AM,,,,0,"• Course title displayed
• Full description displayed
• Duration displayed
• Number of lectures displayed",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2f7b7ec6,,,,,,,,,,,,,,,,0|i00067:,,,ELP Sprint 1,,,2.0,,,,,,,,,10091,ELP-13,MODULE 5 — Course Detail Page,To Do,02/Apr/26 8:18 AM
5.2 Video Preview,ELP-15,10093,Story,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:33 AM,,,,0,"• Preview video available on detail page
• Play / Pause controls functional",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3d4ae9d0,,,,,,,,,,,,,,,,0|i0006f:,,,ELP Sprint 1,,,3.0,,,,,,,,,10091,ELP-13,MODULE 5 — Course Detail Page,To Do,02/Apr/26 8:18 AM
5.3 Enroll Now Button,ELP-16,10094,Story,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:33 AM,,,,0,"• Paid course → redirects to payment flow
• Free course → directly added to user dashboard",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-65,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3eb0b271,,,,,,,,,,,,,,,,0|i0006n:,,,ELP Sprint 1,,,3.0,,,,,,,,,10091,ELP-13,MODULE 5 — Course Detail Page,To Do,02/Apr/26 8:18 AM
MODULE 6 — My Courses,ELP-17,10095,Epic,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:18 AM,,,,0,,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5a496e27,,,,,ghx-label-7,My Courses,To Do,,,,purple,,,,,0|i0006v:,,,,,,,,,,,,,,,,,,To Do,02/Apr/26 8:18 AM
6.1 Enrolled Courses List,ELP-18,10096,Story,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:33 AM,,,,0,• Display list of all enrolled courses for the user,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1fef4c98,,,,,,,,,,,,,,,,0|i00073:,,,ELP Sprint 1,,,2.0,,,,,,,,,10095,ELP-17,MODULE 6 — My Courses,To Do,02/Apr/26 8:18 AM
6.2 Course Progress Tracking,ELP-19,10097,Story,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:33 AM,,,,0,• Show completion percentage for each enrolled course,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2f19dbd6,,,,,,,,,,,,,,,,0|i0007b:,,,ELP Sprint 1,,,3.0,,,,,,,,,10095,ELP-17,MODULE 6 — My Courses,To Do,02/Apr/26 8:18 AM
6.3 Continue Learning,ELP-20,10098,Story,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:33 AM,,,,0,• Resume course from the last watched lecture,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5a7a5775,,,,,,,,,,,,,,,,0|i0007j:,,,ELP Sprint 1,,,2.0,,,,,,,,,10095,ELP-17,MODULE 6 — My Courses,To Do,02/Apr/26 8:18 AM
MODULE 7 — Video Player,ELP-21,10099,Epic,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:18 AM,,,,0,,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@251cbeaa,,,,,ghx-label-4,Video Player,To Do,,,,dark_blue,,,,,0|i0007r:,,,,,,,,,,,,,,,,,,To Do,02/Apr/26 8:18 AM
7.1 Lecture Playback Controls,ELP-22,10100,Story,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:33 AM,,,,0,"• Play / Pause functionality
• Seek forward and backward",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7175dc19,,,,,,,,,,,,,,,,0|i0007z:,,,ELP Sprint 1,,,3.0,,,,,,,,,10099,ELP-21,MODULE 7 — Video Player,To Do,02/Apr/26 8:18 AM
7.2 Progress Auto-Save,ELP-23,10101,Story,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:33 AM,,,,0,• Automatically save lecture progress for the user,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-66,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1edfde06,,,,,,,,,,,,,,,,0|i00087:,,,ELP Sprint 1,,,5.0,,,,,,,,,10099,ELP-21,MODULE 7 — Video Player,To Do,02/Apr/26 8:18 AM
7.3 Next Lecture Auto-Play,ELP-24,10102,Story,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:33 AM,,,,0,• Auto-play next video when current lecture ends,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4b7e1f21,,,,,,,,,,,,,,,,0|i0008f:,,,ELP Sprint 1,,,2.0,,,,,,,,,10099,ELP-21,MODULE 7 — Video Player,To Do,02/Apr/26 8:18 AM
MODULE 8 — Reviews & Ratings,ELP-25,10103,Epic,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:18 AM,,,,0,,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2dbd839,,,,,ghx-label-3,Reviews & Ratings,To Do,,,,yellow,,,,,0|i0008n:,,,,,,,,,,,,,,,,,,To Do,02/Apr/26 8:18 AM
